Band_Number,Wavelength,FWHM
1,365.93,9.85211
2,375.594,9.79698
3,385.263,9.7441
4,394.935,9.69349
5,404.613,9.64514
6,414.295,9.59905
7,423.981,9.55522
8,433.671,9.51364
9,443.366,9.47433
10,453.065,9.43728
11,462.769,9.40249
12,472.477,9.36996
13,482.19,9.33968
14,491.907,9.31167
15,501.628,9.28592
16,511.353,9.26243
17,521.084,9.2412
18,530.818,9.22222
19,540.557,9.20551
20,550.3,9.19106
21,560.048,9.17887
22,569.8,9.16894
23,579.556,9.16126
24,589.317,9.15585
25,599.082,9.1527
26,608.852,9.15181
27,618.625,9.15318
28,628.404,9.1568
29,638.187,9.16269
30,647.974,9.17084
31,657.765,9.18125
32,667.561,9.19392
33,655.792,9.90847
34,665.599,9.84871
35,675.401,9.79871
36,685.198,9.75848
37,694.989,9.72802
38,704.776,9.70732
39,714.557,9.6964
40,724.333,9.69523
41,734.103,9.70384
42,743.869,9.72221
43,753.629,9.75035
44,763.384,9.78825
45,773.133,9.83593
46,782.878,9.89336
47,792.617,9.96057
48,802.352,10.0375
49,812.081,10.1243
50,821.804,10.2208
51,831.523,10.3271
52,841.236,10.4431
53,850.944,10.5689
54,860.647,10.7045
55,870.345,10.8498
56,880.037,11.0049
57,889.724,11.1698
58,899.407,11.3444
59,909.083,11.5288
60,918.755,11.723
61,928.421,11.927
62,938.083,10.7815
63,947.739,9.7618
64,957.39,9.76006
65,967.035,9.75932
66,976.675,9.75959
67,986.311,9.76085
68,995.941,9.76311
69,1005.57,9.76637
70,1015.18,9.77063
71,1024.8,9.7759
72,1034.41,9.78216
73,1044.01,9.78942
74,1053.61,9.79769
75,1063.2,9.80695
76,1072.79,9.81722
77,1082.38,9.82849
78,1091.95,9.84075
79,1101.53,9.85402
80,1111.09,9.86829
81,1120.66,9.88356
82,1130.21,9.89983
83,1139.77,9.91709
84,1149.31,9.93536
85,1158.85,9.95463
86,1168.39,9.97491
87,1177.92,9.99618
88,1187.45,10.0184
89,1196.97,10.0417
90,1206.48,10.066
91,1215.99,10.0913
92,1225.5,10.1175
93,1235,10.1448
94,1244.49,10.1731
95,1253.98,10.2024
96,1263.46,10.2326
97,1253.37,10.8383
98,1263.35,10.8327
99,1273.32,10.8272
100,1283.29,10.8219
101,1293.26,10.8167
102,1303.23,10.8117
103,1313.21,10.8067
104,1323.18,10.802
105,1333.15,10.7973
106,1343.12,10.7928
107,1353.09,10.7885
108,1363.06,10.7843
109,1373.03,10.7802
110,1383,10.7762
111,1392.97,10.7724
112,1402.94,10.7687
113,1412.91,10.7652
114,1422.88,10.7618
115,1432.84,10.7585
116,1442.81,10.7554
117,1452.78,10.7524
118,1462.75,10.7496
119,1472.72,10.7469
120,1482.69,10.7443
121,1492.65,10.7419
122,1502.62,10.7396
123,1512.59,10.7374
124,1522.55,10.7354
125,1532.52,10.7335
126,1542.48,10.7317
127,1552.45,10.7301
128,1562.42,10.7287
129,1572.38,10.7273
130,1582.35,10.7261
131,1592.31,10.7251
132,1602.28,10.7241
133,1612.24,10.7233
134,1622.2,10.7227
135,1632.17,10.7222
136,1642.13,10.7218
137,1652.09,10.7216
138,1662.06,10.7215
139,1672.02,10.7215
140,1681.98,10.7217
141,1691.94,10.722
142,1701.91,10.7225
143,1711.87,10.7231
144,1721.83,10.7238
145,1731.79,10.7247
146,1741.75,10.7256
147,1751.71,10.7268
148,1761.68,10.7281
149,1771.64,10.7295
150,1781.6,10.731
151,1791.56,10.7327
152,1801.52,10.7346
153,1811.47,10.7365
154,1821.43,10.7386
155,1831.39,10.7409
156,1841.35,10.7432
157,1851.31,10.7457
158,1861.27,10.7484
159,1871.23,10.7512
160,1872.38,10.7541
161,1866.86,11.1666
162,1876.93,11.1579
163,1886.98,11.1489
164,1897.04,11.1396
165,1907.1,11.1299
166,1917.15,11.1199
167,1927.2,11.1096
168,1937.25,11.099
169,1947.29,11.0881
170,1957.33,11.0769
171,1967.38,11.0653
172,1977.41,11.0534
173,1987.45,11.0413
174,1997.48,11.0288
175,2007.52,11.0159
176,2017.55,11.0028
177,2027.57,10.9893
178,2037.6,10.9755
179,2047.62,10.9615
180,2057.64,10.9471
181,2067.66,10.9323
182,2077.67,10.9173
183,2087.69,10.9019
184,2097.7,10.8863
185,2107.7,10.8703
186,2117.71,10.854
187,2127.71,10.8373
188,2137.72,10.8204
189,2147.72,10.8031
190,2157.71,10.7856
191,2167.71,10.7677
192,2177.7,10.7494
193,2187.69,10.7309
194,2197.68,10.7121
195,2207.66,10.6929
196,2217.65,10.6734
197,2227.63,10.6537
198,2237.6,10.6335
199,2247.58,10.6131
200,2257.55,10.5924
201,2267.53,10.5713
202,2277.5,10.5499
203,2287.46,10.5282
204,2297.43,10.5062
205,2307.39,10.4839
206,2317.35,10.4612
207,2327.31,10.4383
208,2337.26,10.415
209,2347.22,10.3914
210,2357.17,10.3675
211,2367.11,10.3433
212,2377.06,10.3187
213,2387,10.2938
214,2396.95,10.2687
215,2406.89,10.2432
216,2416.82,10.2174
217,2426.76,10.1912
218,2436.69,10.1648
219,2446.62,10.138
220,2456.55,10.1109
221,2466.47,10.0835
222,2476.4,10.0558
223,2486.32,10.0278
224,2496.24,9.99943
